name,price
BitcoinBTC,29328.5$
Ethereum,1842.69$
TronixTRX,0.0771205$
MoneroXMR,158.667$
StellarXLM,0.135$
Bitcoin,228.71$
VergeXVG,0.0042222$
OmiseGoOMG,0.57748$
ZCashZEC,29.57$
Ethereum,17.4$
TetherUSDT,0.9991$
RippleXRP,0.6267$
DogecoinDOGE,0.07391$
LitecoinLTC,82.07$
EOSEOS,0.715484$
DigitalCashDASH,31.9312$
NEONEO,8.50334$
DecentralandMANA,0.3635$
NEMXEM,0.0293136$
DigiByteDGB,0.00791387$
BitsharesBTS,0.00992106$
LEOcoinLEO,3.998$
LiskLSK,0.840643$
DecredDCR,14.6868$
GamecreditsGAME,0.0279348$
NxtNXT,0.00177708$
ReddCoinRDD,0.000088496$
OnixONX,0.00815786$
EmercoinEMC,0.00999$
0x0x,0.2242$
TezosXTZ,0.793$
FunFairFUN,0.00470476$
AugurREP,1.409$
Bitcoin,14.6168$
CindicatorCND,0.0009991$
PeerCoinPPC,0.359351$
AventCoinAVT,0.925304$
NewYorkCoinNYC,0.00000369968$
